Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/01/2024,01/02/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,,Payment,2200.00,
01/01/2024,01/02/2024,SUNSET APARTMENTS RENT,,Sale,-1800.00,
01/02/2024,01/03/2024,WHOLE FOODS #456,,Sale,-73.32,
01/03/2024,01/04/2024,NETFLIX.COM,,Sale,-15.99,
01/05/2024,01/06/2024,SPOTIFY USA,,Sale,-11.99,
01/05/2024,01/06/2024,KROGER #1123,,Sale,-33.92,
01/07/2024,01/08/2024,PLANET FITNESS,,Sale,-24.99,
01/09/2024,01/10/2024,COMCAST XFINITY,,Sale,-60.00,
01/09/2024,01/10/2024,AMAZON.COM*A1B2,,Sale,-57.21,
01/11/2024,01/12/2024,T-MOBILE PCS SVC,,Sale,-70.00,
01/11/2024,01/12/2024,TRADER JOE'S #221,,Sale,-85.59,
01/15/2024,01/16/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,,Payment,2200.00,
01/17/2024,01/18/2024,WHOLE FOODS #456,,Sale,-30.92,
01/23/2024,01/24/2024,TRADER JOE'S #221,,Sale,-87.63,
02/01/2024,02/02/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,,Payment,2200.00,
02/01/2024,02/02/2024,SUNSET APARTMENTS RENT,,Sale,-1800.00,
02/02/2024,02/03/2024,LYFT *RIDE,,Sale,-86.32,
02/03/2024,02/04/2024,NETFLIX.COM,,Sale,-15.99,
02/05/2024,02/06/2024,SPOTIFY USA,,Sale,-11.99,
02/07/2024,02/08/2024,PLANET FITNESS,,Sale,-24.99,
02/09/2024,02/10/2024,COMCAST XFINITY,,Sale,-60.00,
02/11/2024,02/12/2024,T-MOBILE PCS SVC,,Sale,-70.00,
02/11/2024,02/12/2024,STARBUCKS #0912,,Sale,-115.12,
02/12/2024,02/13/2024,WHOLE FOODS #456,,Sale,-49.31,
02/13/2024,02/14/2024,BEST BUY #401,,Sale,-20.23,
02/15/2024,02/16/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,,Payment,2200.00,
02/15/2024,02/16/2024,CHIPOTLE 1442,,Sale,-49.33,
02/20/2024,02/21/2024,KROGER #1123,,Sale,-100.55,
02/24/2024,02/25/2024,SHELL OIL 5567,,Sale,-98.01,
02/28/2024,02/29/2024,MCDONALD'S F1123,,Sale,-118.32,
03/01/2024,03/02/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,,Payment,2200.00,
03/01/2024,03/02/2024,SUNSET APARTMENTS RENT,,Sale,-1800.00,
03/03/2024,03/04/2024,NETFLIX.COM,,Sale,-15.99,
03/05/2024,03/06/2024,SPOTIFY USA,,Sale,-11.99,
03/06/2024,03/07/2024,UBER *TRIP,,Sale,-75.44,
03/07/2024,03/08/2024,PLANET FITNESS,,Sale,-24.99,
03/07/2024,03/08/2024,CHEVRON 220,,Sale,-36.52,
03/08/2024,03/09/2024,AMAZON.COM*A1B2,,Sale,-36.20,
03/09/2024,03/10/2024,COMCAST XFINITY,,Sale,-60.00,
03/09/2024,03/10/2024,STARBUCKS #0912,,Sale,-58.70,
03/11/2024,03/12/2024,T-MOBILE PCS SVC,,Sale,-70.00,
03/13/2024,03/14/2024,LYFT *RIDE,,Sale,-80.72,
03/15/2024,03/16/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,,Payment,2200.00,
03/22/2024,03/23/2024,MCDONALD'S F1123,,Sale,-46.50,
03/25/2024,03/26/2024,MCDONALD'S F1123,,Sale,-102.09,
03/26/2024,03/27/2024,TRADER JOE'S #221,,Sale,-99.69,
04/01/2024,04/02/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,,Payment,2200.00,
04/01/2024,04/02/2024,SUNSET APARTMENTS RENT,,Sale,-1800.00,
04/03/2024,04/04/2024,NETFLIX.COM,,Sale,-15.99,
04/04/2024,04/05/2024,LYFT *RIDE,,Sale,-63.88,
04/05/2024,04/06/2024,SPOTIFY USA,,Sale,-11.99,
04/05/2024,04/06/2024,LYFT *RIDE,,Sale,-119.70,
04/07/2024,04/08/2024,PLANET FITNESS,,Sale,-24.99,
04/09/2024,04/10/2024,COMCAST XFINITY,,Sale,-60.00,
04/11/2024,04/12/2024,T-MOBILE PCS SVC,,Sale,-70.00,
04/13/2024,04/14/2024,CHEVRON 220,,Sale,-108.35,
04/13/2024,04/14/2024,BEST BUY #401,,Sale,-13.24,
04/14/2024,04/15/2024,SHELL OIL 5567,,Sale,-18.72,
04/15/2024,04/16/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,,Payment,2200.00,
04/18/2024,04/19/2024,BEST BUY #401,,Sale,-34.66,
04/18/2024,04/19/2024,WHOLE FOODS #456,,Sale,-83.71,
04/18/2024,04/19/2024,BEST BUY #401,,Sale,-1499.99,
04/24/2024,04/25/2024,DOORDASH*PANDA,,Sale,-6.37,
04/26/2024,04/27/2024,TRADER JOE'S #221,,Sale,-77.53,
04/28/2024,04/29/2024,AMAZON.COM*A1B2,,Sale,-92.16,
05/01/2024,05/02/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,,Payment,2200.00,
05/01/2024,05/02/2024,SUNSET APARTMENTS RENT,,Sale,-1800.00,
05/03/2024,05/04/2024,NETFLIX.COM,,Sale,-15.99,
05/04/2024,05/05/2024,KROGER #1123,,Sale,-61.70,
05/05/2024,05/06/2024,SPOTIFY USA,,Sale,-11.99,
05/06/2024,05/07/2024,STARBUCKS #0912,,Sale,-48.63,
05/07/2024,05/08/2024,PLANET FITNESS,,Sale,-24.99,
05/08/2024,05/09/2024,SHELL OIL 5567,,Sale,-33.30,
05/09/2024,05/10/2024,COMCAST XFINITY,,Sale,-60.00,
05/11/2024,05/12/2024,T-MOBILE PCS SVC,,Sale,-70.00,
05/15/2024,05/16/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,,Payment,2200.00,
05/16/2024,05/17/2024,TRADER JOE'S #221,,Sale,-20.64,
05/20/2024,05/21/2024,MCDONALD'S F1123,,Sale,-66.15,
05/22/2024,05/23/2024,MCDONALD'S F1123,,Sale,-51.49,
05/25/2024,05/26/2024,AMAZON.COM*A1B2,,Sale,-111.90,
05/27/2024,05/28/2024,WHOLE FOODS #456,,Sale,-89.44,
06/01/2024,06/02/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,,Payment,2200.00,
06/01/2024,06/02/2024,SUNSET APARTMENTS RENT,,Sale,-1800.00,
06/02/2024,06/03/2024,TRADER JOE'S #221,,Sale,-13.68,
06/03/2024,06/04/2024,NETFLIX.COM,,Sale,-15.99,
06/03/2024,06/04/2024,SUBWAY 33021,,Sale,-31.10,
06/05/2024,06/06/2024,SPOTIFY USA,,Sale,-11.99,
06/07/2024,06/08/2024,PLANET FITNESS,,Sale,-24.99,
06/08/2024,06/09/2024,BEST BUY #401,,Sale,-57.47,
06/09/2024,06/10/2024,COMCAST XFINITY,,Sale,-60.00,
06/09/2024,06/10/2024,UBER *TRIP,,Sale,-64.61,
06/11/2024,06/12/2024,T-MOBILE PCS SVC,,Sale,-70.00,
06/15/2024,06/16/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,,Payment,2200.00,
06/19/2024,06/20/2024,CHIPOTLE 1442,,Sale,-44.54,
06/22/2024,06/23/2024,AMAZON.COM*A1B2,,Sale,-16.75,
